modulation,symbol_rate,ecc,burst_rate_per_s,burst_length_ms,interleaving_depth,median_raw_ber,median_post_ecc_ber,clean_decode_rate
16QAM,9600,hamming74,0.1,10,1,2.9916e-05,6.5185e-09,0.7625
16QAM,9600,hamming74,0.1,10,4,2.9150e-05,1.9370e-09,0.925
16QAM,9600,hamming74,0.1,10,16,2.7844e-05,5.9231e-10,0.9875
16QAM,9600,hamming74,0.1,10,64,2.9681e-05,1.7285e-10,0.9875
16QAM,9600,hamming74,0.1,100,1,2.6141e-04,7.2615e-08,0.05
16QAM,9600,hamming74,0.1,100,4,2.4896e-04,1.9918e-08,0.4125
16QAM,9600,hamming74,0.1,100,16,2.5977e-04,5.6630e-09,0.825
16QAM,9600,hamming74,0.1,100,64,2.5743e-04,1.6594e-09,0.925
16QAM,9600,hamming74,0.5,50,1,6.6525e-04,1.6578e-07,0.0
16QAM,9600,hamming74,0.5,50,4,6.1121e-04,4.7445e-08,0.2
16QAM,9600,hamming74,0.5,50,16,6.3315e-04,1.3837e-08,0.5875
16QAM,9600,hamming74,0.5,50,64,5.9381e-04,4.0180e-09,0.8125
16QAM,9600,hamming74,1.0,100,1,2.4862e-03,6.9597e-07,0.0
16QAM,9600,hamming74,1.0,100,4,2.4956e-03,1.9422e-07,0.0
16QAM,9600,hamming74,1.0,100,16,2.4153e-03,5.2891e-08,0.1
16QAM,9600,hamming74,1.0,100,64,2.4270e-03,1.5973e-08,0.5625
16QAM,9600,hamming74,2.0,500,1,2.4338e-02,7.2728e-06,0.0
16QAM,9600,hamming74,2.0,500,4,2.4633e-02,1.9158e-06,0.0
16QAM,9600,hamming74,2.0,500,16,2.6090e-02,5.5700e-07,0.0
16QAM,9600,hamming74,2.0,500,64,2.6723e-02,1.5835e-07,0.0125
