seed_offset,target_snr_db,measured_snr_db,target_wow_flutter_wrms_pct,measured_wow_flutter_wrms_pct,wf_deviation_pct_points,mean_pairwise_rms_difference,min_pairwise_rms_difference
0,40.0,40.02,0.07,0.0692,-0.0008,0.45231367,0.06815354
1,40.0,39.99,0.07,0.06552,-0.00448,0.55889586,0.44229762
2,40.0,39.99,0.07,0.06967,-0.00033,0.45508802,0.13739478
3,40.0,40.01,0.07,0.06882,-0.00118,0.4499093,0.06815354
4,40.0,40.01,0.07,0.06526,-0.00474,0.59835362,0.49878805
5,40.0,39.98,0.07,0.07529,0.00529,0.50834454,0.34944253
6,40.0,40.0,0.07,0.07473,0.00473,0.52902648,0.34944253
7,40.0,40.0,0.07,0.06418,-0.00582,0.5592644,0.47065327
8,40.0,40.0,0.07,0.07139,0.00139,0.57204178,0.5253187
9,40.0,40.01,0.07,0.0755,0.0055,0.58101464,0.49878805
