modulation,symbol_rate,ecc,interleaving_depth,raw_ber,post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_probability_per_side,hits_phase2_ber_target
BPSK,1200,none,1,1.1591e-11,1.1591e-11,1200.0,0.27,0.999975,True
BPSK,1200,none,16,1.1591e-11,5.2162e-12,1200.0,0.27,0.999989,True
BPSK,1200,none,64,1.1591e-11,2.6081e-12,1200.0,0.27,0.999994,True
BPSK,1200,hamming74,1,1.1591e-11,2.7756e-17,685.71,0.154,1.0,True
BPSK,1200,hamming74,16,1.1591e-11,1.2490e-17,685.71,0.154,1.0,True
BPSK,1200,hamming74,64,1.1591e-11,6.2450e-18,685.71,0.154,1.0,True
BPSK,1200,rep3,1,1.1591e-11,4.0309e-22,400.0,0.09,1.0,True
BPSK,1200,rep3,16,1.1591e-11,1.8139e-22,400.0,0.09,1.0,True
BPSK,1200,rep3,64,1.1591e-11,9.0695e-23,400.0,0.09,1.0,True
BPSK,1200,rep5,1,1.1591e-11,1.5575e-32,240.0,0.054,1.0,True
BPSK,1200,rep5,16,1.1591e-11,7.0086e-33,240.0,0.054,1.0,True
BPSK,1200,rep5,64,1.1591e-11,3.5043e-33,240.0,0.054,1.0,True
BPSK,2400,none,1,9.4768e-11,9.4768e-11,2400.0,0.54,0.999591,True
BPSK,2400,none,16,9.4768e-11,4.2646e-11,2400.0,0.54,0.999816,True
BPSK,2400,none,64,9.4768e-11,2.1323e-11,2400.0,0.54,0.999908,True
BPSK,2400,hamming74,1,9.4768e-11,-5.5511e-17,1371.43,0.309,1.0,True
BPSK,2400,hamming74,16,9.4768e-11,-2.4980e-17,1371.43,0.309,1.0,True
BPSK,2400,hamming74,64,9.4768e-11,-1.2490e-17,1371.43,0.309,1.0,True
BPSK,2400,rep3,1,9.4768e-11,2.6943e-20,800.0,0.18,1.0,True
BPSK,2400,rep3,16,9.4768e-11,1.2124e-20,800.0,0.18,1.0,True
BPSK,2400,rep3,64,9.4768e-11,6.0621e-21,800.0,0.18,1.0,True
BPSK,2400,rep5,1,9.4768e-11,8.5111e-30,480.0,0.108,1.0,True
BPSK,2400,rep5,16,9.4768e-11,3.8300e-30,480.0,0.108,1.0,True
BPSK,2400,rep5,64,9.4768e-11,1.9150e-30,480.0,0.108,1.0,True
BPSK,4800,none,1,9.3806e-10,9.3806e-10,4800.0,1.08,0.991928,True
