run,modem,features,modulation,symbol_rate,ecc,interleaving_depth,burst_rate_per_s,burst_length_ms,raw_ber,post_ecc_ber,clean_decode,aggregate_clean_decode_rate,snr_margin_gain_db_equiv,wf_margin_at_equal_clean_pct
0,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.4306e-04,1.5880e-09,True,0.9667,0.0,0.07
1,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.7460e-04,1.6949e-09,True,0.9667,0.0,0.07
2,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.4287e-04,2.3873e-09,True,0.9667,0.0,0.07
3,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.8510e-04,1.2016e-09,True,0.9667,0.0,0.07
4,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.8230e-04,9.2894e-10,True,0.9667,0.0,0.07
5,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.3447e-04,1.6401e-09,True,0.9667,0.0,0.07
6,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,1.9578e-04,1.9434e-09,True,0.9667,0.0,0.07
7,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,4.4342e-04,1.9313e-09,True,0.9667,0.0,0.07
8,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.7475e-04,1.1675e-09,True,0.9667,0.0,0.07
9,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.3534e-04,1.4860e-09,True,0.9667,0.0,0.07
10,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.3599e-04,1.6338e-09,True,0.9667,0.0,0.07
11,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.3295e-04,2.1056e-09,True,0.9667,0.0,0.07
12,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.6277e-04,2.3783e-09,True,0.9667,0.0,0.07
13,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,1.9041e-04,1.9697e-09,True,0.9667,0.0,0.07
14,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.2577e-04,2.1690e-09,True,0.9667,0.0,0.07
15,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.2191e-04,1.6689e-09,True,0.9667,0.0,0.07
16,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.7741e-04,2.2308e-09,True,0.9667,0.0,0.07
17,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.2256e-04,1.7065e-09,True,0.9667,0.0,0.07
18,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,1.9467e-04,1.8933e-09,True,0.9667,0.0,0.07
19,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.1995e-04,1.8825e-09,True,0.9667,0.0,0.07
20,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.4098e-04,1.3703e-09,True,0.9667,0.0,0.07
21,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.0922e-04,1.9820e-09,True,0.9667,0.0,0.07
22,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.0517e-04,1.1612e-09,True,0.9667,0.0,0.07
23,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.0953e-04,7.7428e-10,True,0.9667,0.0,0.07
24,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.4372e-04,1.9657e-09,True,0.9667,0.0,0.07
25,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.0719e-04,2.3168e-09,True,0.9667,0.0,0.07
26,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.0543e-04,1.5812e-09,True,0.9667,0.0,0.07
27,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.7823e-04,1.5196e-09,True,0.9667,0.0,0.07
28,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.6269e-04,1.6556e-09,True,0.9667,0.0,0.07
29,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.3052e-04,1.5719e-09,True,0.9667,0.0,0.07
30,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.8582e-04,1.4147e-09,True,0.9667,0.0,0.07
31,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.3862e-04,1.6283e-09,True,0.9667,0.0,0.07
32,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.0406e-04,1.4880e-09,True,0.9667,0.0,0.07
33,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.2021e-04,1.5112e-09,True,0.9667,0.0,0.07
34,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.0635e-04,3.0532e-09,True,0.9667,0.0,0.07
35,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.2122e-04,2.0286e-09,True,0.9667,0.0,0.07
36,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.6049e-04,1.1420e-09,True,0.9667,0.0,0.07
37,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.3877e-04,1.9625e-09,True,0.9667,0.0,0.07
38,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.3040e-04,1.5229e-09,True,0.9667,0.0,0.07
39,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.7737e-04,1.6129e-09,True,0.9667,0.0,0.07
40,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.2892e-04,2.2636e-09,True,0.9667,0.0,0.07
41,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.2464e-04,3.0037e-09,True,0.9667,0.0,0.07
42,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.0895e-04,1.4622e-09,True,0.9667,0.0,0.07
43,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.2904e-04,1.9365e-09,True,0.9667,0.0,0.07
44,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.1147e-04,1.8247e-09,True,0.9667,0.0,0.07
45,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,3.1172e-04,1.4708e-09,True,0.9667,0.0,0.07
46,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.2919e-04,1.6204e-09,True,0.9667,0.0,0.07
47,v2_current,decision_only,16QAM,7200,hamming74,64,0.1,100,2.1005e-04,1.3961e-09,False,0.9667,0.0,0.07
