modulation,symbol_rate,bits_per_symbol,raw_bitrate_bps,raw_ber,pareto_frontier
BPSK,1200,1,1200,1.2189e-11,True
BPSK,2400,1,2400,9.3413e-11,False
BPSK,4800,1,4800,9.3462e-10,False
BPSK,7200,1,7200,3.0262e-09,False
BPSK,9600,1,9600,7.8568e-09,False
BPSK,12000,1,12000,1.5248e-08,False
QPSK,1200,2,2400,3.1481e-11,True
QPSK,2400,2,4800,2.7529e-10,True
QPSK,4800,2,9600,2.7108e-09,True
QPSK,7200,2,14400,7.8408e-09,True
QPSK,9600,2,19200,1.9363e-08,True
QPSK,12000,2,24000,3.9276e-08,True
8PSK,1200,3,3600,2.0277e-09,False
8PSK,2400,3,7200,1.7455e-08,False
8PSK,4800,3,14400,1.5799e-07,False
8PSK,7200,3,21600,4.3402e-07,False
8PSK,9600,3,28800,1.3232e-06,True
8PSK,12000,3,36000,2.1603e-03,False
16QAM,1200,4,4800,5.7046e-09,False
16QAM,2400,4,9600,5.4893e-08,False
16QAM,4800,4,19200,4.5958e-07,False
16QAM,7200,4,28800,1.6869e-06,False
16QAM,9600,4,38400,4.2380e-06,True
16QAM,12000,4,48000,8.8355e-04,True
