run,modulation,symbol_rate,ecc,interleaving_depth,burst_rate_per_s,burst_length_ms,raw_ber,post_ecc_ber,clean_decode,usable_MB
0,16QAM,7200,hamming74,64,0.1,100,3.7355e-04,1.5894e-09,True,3.7029
1,16QAM,7200,hamming74,64,0.1,100,2.2345e-04,1.7218e-09,True,3.7029
2,16QAM,7200,hamming74,64,0.1,100,2.0685e-04,1.2140e-09,True,3.7029
3,16QAM,7200,hamming74,64,0.1,100,3.3357e-04,1.5007e-09,True,3.7029
4,16QAM,7200,hamming74,64,0.1,100,2.3161e-04,1.4306e-09,True,3.7029
5,16QAM,7200,hamming74,64,0.1,100,2.9294e-04,2.3201e-09,True,3.7029
6,16QAM,7200,hamming74,64,0.1,100,3.2015e-04,2.2477e-09,True,3.7029
7,16QAM,7200,hamming74,64,0.1,100,3.3009e-04,1.3413e-09,True,3.7029
8,16QAM,7200,hamming74,64,0.1,100,3.3418e-04,1.3867e-09,True,3.7029
9,16QAM,7200,hamming74,64,0.1,100,2.5562e-04,1.8568e-09,True,3.7029
10,16QAM,7200,hamming74,64,0.1,100,2.6667e-04,1.2013e-09,True,3.7029
11,16QAM,7200,hamming74,64,0.1,100,2.3994e-04,1.3237e-09,True,3.7029
12,16QAM,7200,hamming74,64,0.1,100,3.0685e-04,1.4380e-09,True,3.7029
13,16QAM,7200,hamming74,64,0.1,100,2.4238e-04,2.0608e-09,True,3.7029
14,16QAM,7200,hamming74,64,0.1,100,2.8842e-04,1.8180e-09,True,3.7029
15,16QAM,7200,hamming74,64,0.1,100,3.0922e-04,1.6997e-09,True,3.7029
16,16QAM,7200,hamming74,64,0.1,100,2.0323e-04,1.3077e-09,True,3.7029
17,16QAM,7200,hamming74,64,0.1,100,2.4150e-04,1.4597e-09,True,3.7029
18,16QAM,7200,hamming74,64,0.1,100,2.1921e-04,1.7362e-09,True,3.7029
19,16QAM,7200,hamming74,64,0.1,100,3.7428e-04,2.0582e-09,True,3.7029
20,16QAM,7200,hamming74,64,0.1,100,2.1164e-04,1.6345e-09,True,3.7029
21,16QAM,7200,hamming74,64,0.1,100,2.9198e-04,1.5305e-09,True,3.7029
22,16QAM,7200,hamming74,64,0.1,100,2.6609e-04,1.3673e-09,True,3.7029
23,16QAM,7200,hamming74,64,0.1,100,1.7320e-04,1.7600e-09,True,3.7029
24,16QAM,7200,hamming74,64,0.1,100,2.8479e-04,1.6217e-09,False,0.0
25,16QAM,7200,hamming74,64,0.1,100,3.0164e-04,1.4341e-09,True,3.7029
26,16QAM,7200,hamming74,64,0.1,100,2.2364e-04,2.0359e-09,True,3.7029
27,16QAM,7200,hamming74,64,0.1,100,2.4815e-04,9.0078e-10,True,3.7029
28,16QAM,7200,hamming74,64,0.1,100,1.8850e-04,1.2822e-09,True,3.7029
29,16QAM,7200,hamming74,64,0.1,100,2.5963e-04,1.8872e-09,True,3.7029
30,16QAM,7200,hamming74,64,0.1,100,2.2150e-04,1.4584e-09,True,3.7029
31,16QAM,7200,hamming74,64,0.1,100,2.4890e-04,1.2102e-09,True,3.7029
32,16QAM,7200,hamming74,64,0.1,100,2.1858e-04,1.3185e-09,True,3.7029
33,16QAM,7200,hamming74,64,0.1,100,3.0744e-04,1.3028e-09,True,3.7029
34,16QAM,7200,hamming74,64,0.1,100,2.2728e-04,1.4480e-09,True,3.7029
35,16QAM,7200,hamming74,64,0.1,100,1.8774e-04,1.4162e-09,True,3.7029
36,16QAM,7200,hamming74,64,0.1,100,2.3965e-04,1.9429e-09,True,3.7029
37,16QAM,7200,hamming74,64,0.1,100,2.5344e-04,1.1226e-09,True,3.7029
38,16QAM,7200,hamming74,64,0.1,100,2.7986e-04,2.7485e-09,True,3.7029
39,16QAM,7200,hamming74,64,0.1,100,2.4939e-04,1.6697e-09,True,3.7029
40,16QAM,7200,hamming74,64,0.1,100,2.4300e-04,1.8368e-09,True,3.7029
41,16QAM,7200,hamming74,64,0.1,100,2.4965e-04,1.7739e-09,True,3.7029
42,16QAM,7200,hamming74,64,0.1,100,2.5472e-04,2.2239e-09,True,3.7029
43,16QAM,7200,hamming74,64,0.1,100,2.1719e-04,2.3149e-09,True,3.7029
44,16QAM,7200,hamming74,64,0.1,100,2.1223e-04,1.9091e-09,True,3.7029
45,16QAM,7200,hamming74,64,0.1,100,2.2123e-04,1.6698e-09,True,3.7029
46,16QAM,7200,hamming74,64,0.1,100,2.7925e-04,1.4082e-09,True,3.7029
47,16QAM,7200,hamming74,64,0.1,100,3.5584e-04,1.2401e-09,True,3.7029
48,16QAM,7200,hamming74,64,0.1,100,2.1706e-04,1.8164e-09,True,3.7029
49,16QAM,7200,hamming74,64,0.1,100,1.9373e-04,2.2046e-09,False,0.0
50,16QAM,7200,hamming74,64,0.1,100,3.1156e-04,1.9240e-09,True,3.7029
51,16QAM,7200,hamming74,64,0.1,100,2.3144e-04,1.5353e-09,True,3.7029
52,16QAM,7200,hamming74,64,0.1,100,2.5590e-04,2.5031e-09,True,3.7029
53,16QAM,7200,hamming74,64,0.1,100,2.0915e-04,1.4000e-09,True,3.7029
54,16QAM,7200,hamming74,64,0.1,100,1.9958e-04,1.8880e-09,True,3.7029
55,16QAM,7200,hamming74,64,0.1,100,2.2279e-04,1.3716e-09,True,3.7029
56,16QAM,7200,hamming74,64,0.1,100,2.3909e-04,1.4804e-09,True,3.7029
57,16QAM,7200,hamming74,64,0.1,100,2.5101e-04,2.3560e-09,True,3.7029
58,16QAM,7200,hamming74,64,0.1,100,2.7616e-04,2.0711e-09,True,3.7029
59,16QAM,7200,hamming74,64,0.1,100,2.2848e-04,1.6737e-09,True,3.7029
60,16QAM,7200,hamming74,64,0.1,100,2.8796e-04,1.7504e-09,True,3.7029
61,16QAM,7200,hamming74,64,0.1,100,2.5251e-04,2.0556e-09,True,3.7029
