run,modulation,symbol_rate,ecc,interleaving_depth,uep_scheme,corrected_burst_rate_per_s,corrected_burst_length_ms,raw_ber,post_ecc_ber,clean_decode,usable_payload_MB,model_encoded_MB,model_fits_on_clean_decode
0,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.3850e-02,1.9999e-07,False,0.0,1.271,False
1,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8263e-02,1.2771e-07,False,0.0,1.271,False
2,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9891e-02,8.0950e-08,False,0.0,1.271,False
3,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.2439e-02,1.0645e-07,False,0.0,1.271,False
4,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.4316e-02,8.3019e-08,False,0.0,1.271,False
5,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7076e-02,2.6384e-07,False,0.0,1.271,False
6,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9012e-02,7.4072e-08,True,3.703,1.271,True
7,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.2606e-02,8.2877e-08,False,0.0,1.271,False
8,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7711e-02,1.4188e-07,False,0.0,1.271,False
9,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9439e-02,1.2614e-07,False,0.0,1.271,False
10,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.6507e-02,8.7851e-08,False,0.0,1.271,False
11,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9563e-02,1.7896e-07,False,0.0,1.271,False
12,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.2635e-02,5.8353e-08,False,0.0,1.271,False
13,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8540e-02,1.2014e-07,False,0.0,1.271,False
14,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7207e-02,1.1845e-07,False,0.0,1.271,False
15,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8273e-02,1.0080e-07,False,0.0,1.271,False
16,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.3180e-02,9.6830e-08,False,0.0,1.271,False
17,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.5626e-02,9.7217e-08,False,0.0,1.271,False
18,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8315e-02,2.1225e-07,False,0.0,1.271,False
19,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.6882e-02,1.5416e-07,False,0.0,1.271,False
20,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7425e-02,1.1831e-07,False,0.0,1.271,False
21,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8502e-02,1.2266e-07,False,0.0,1.271,False
22,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.4350e-02,1.5611e-07,False,0.0,1.271,False
23,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.6056e-02,1.8692e-07,False,0.0,1.271,False
24,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.2076e-02,1.2884e-07,False,0.0,1.271,False
25,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.1269e-02,1.4211e-07,False,0.0,1.271,False
26,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.3425e-02,1.0664e-07,False,0.0,1.271,False
27,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8200e-02,7.7771e-08,True,3.703,1.271,True
28,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.5405e-02,6.6400e-08,False,0.0,1.271,False
29,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.2516e-02,1.8806e-07,False,0.0,1.271,False
30,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.0076e-02,1.5158e-07,False,0.0,1.271,False
31,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.4683e-02,9.4645e-08,False,0.0,1.271,False
32,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.3614e-02,1.1020e-07,False,0.0,1.271,False
33,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.1095e-02,1.5258e-07,False,0.0,1.271,False
34,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7291e-02,1.3337e-07,False,0.0,1.271,False
35,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.5088e-02,1.0934e-07,False,0.0,1.271,False
36,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.6257e-02,6.8532e-08,True,3.703,1.271,True
37,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.2937e-02,1.1165e-07,False,0.0,1.271,False
38,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9467e-02,1.2960e-07,False,0.0,1.271,False
39,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7196e-02,8.6589e-08,False,0.0,1.271,False
40,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.0148e-02,1.0312e-07,False,0.0,1.271,False
41,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.2171e-02,1.7496e-07,False,0.0,1.271,False
42,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.3112e-02,6.4861e-08,False,0.0,1.271,False
43,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.0589e-02,8.5711e-08,False,0.0,1.271,False
44,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8205e-02,1.3418e-07,False,0.0,1.271,False
45,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.1237e-02,1.4369e-07,False,0.0,1.271,False
46,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9734e-02,8.5268e-08,False,0.0,1.271,False
47,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.0064e-02,1.2574e-07,False,0.0,1.271,False
48,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.3893e-02,1.0697e-07,False,0.0,1.271,False
49,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.4863e-02,1.8894e-07,False,0.0,1.271,False
50,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9505e-02,1.4009e-07,False,0.0,1.271,False
51,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.6137e-02,1.4531e-07,False,0.0,1.271,False
52,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.5690e-02,1.1471e-07,False,0.0,1.271,False
53,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.3195e-02,2.0174e-07,False,0.0,1.271,False
54,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9003e-02,9.0749e-08,False,0.0,1.271,False
55,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.3256e-02,6.8748e-08,True,3.703,1.271,True
56,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9041e-02,5.8238e-08,False,0.0,1.271,False
57,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.4317e-02,1.2980e-07,False,0.0,1.271,False
58,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8360e-02,1.0449e-07,False,0.0,1.271,False
59,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.6696e-02,1.5982e-07,False,0.0,1.271,False
60,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.1905e-02,9.6061e-08,False,0.0,1.271,False
61,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7312e-02,1.8153e-07,False,0.0,1.271,False
62,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9245e-02,1.2492e-07,False,0.0,1.271,False
63,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.2570e-02,1.0282e-07,False,0.0,1.271,False
64,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.5686e-02,2.2507e-07,False,0.0,1.271,False
65,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.1116e-02,1.1699e-07,False,0.0,1.271,False
66,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.1046e-02,1.0275e-07,False,0.0,1.271,False
67,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.2473e-02,7.2910e-08,False,0.0,1.271,False
68,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7637e-02,1.6700e-07,False,0.0,1.271,False
69,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7653e-02,1.3044e-07,False,0.0,1.271,False
70,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9361e-02,1.2735e-07,True,3.703,1.271,True
71,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.6801e-02,1.2916e-07,False,0.0,1.271,False
72,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.2514e-02,9.0351e-08,False,0.0,1.271,False
73,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8008e-02,1.1183e-07,True,3.703,1.271,True
74,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.5797e-02,1.2428e-07,False,0.0,1.271,False
75,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,2.4270e-02,8.0144e-08,False,0.0,1.271,False
76,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.7312e-02,1.4512e-07,False,0.0,1.271,False
77,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.8856e-02,1.2210e-07,False,0.0,1.271,False
78,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.9257e-02,1.4826e-07,False,0.0,1.271,False
79,16QAM,7200,hamming74,64,tiered,0.1111,6549.04,1.2572e-02,2.1587e-07,False,0.0,1.271,False
