modulation,symbol_rate,ecc,interleaving_depth,median_raw_ber,median_post_ecc_ber,net_payload_bitrate_bps,payload_MB_per_C60_side,clean_decode_rate,hits_real_lm_threshold,eligible_recommendation
BPSK,1200,none,1,7.4736e-05,5.5013e-08,1200.0,0.27,0.8875,True,False
BPSK,1200,none,4,7.0101e-05,1.5487e-08,1200.0,0.27,0.975,True,True
BPSK,1200,none,16,6.5138e-05,4.7743e-09,1200.0,0.27,1.0,True,True
BPSK,1200,none,64,7.1239e-05,1.2667e-09,1200.0,0.27,0.9875,True,True
BPSK,1200,hamming74,1,7.4736e-05,1.8700e-08,685.71,0.154,0.95,True,True
BPSK,1200,hamming74,4,7.0101e-05,5.2622e-09,685.71,0.154,1.0,True,True
BPSK,1200,hamming74,16,6.5138e-05,1.6213e-09,685.71,0.154,1.0,True,True
BPSK,1200,hamming74,64,7.1239e-05,4.2978e-10,685.71,0.154,0.9875,True,True
BPSK,1200,rep3,1,7.4736e-05,1.2100e-08,400.0,0.09,0.9875,True,True
BPSK,1200,rep3,4,7.0101e-05,3.4049e-09,400.0,0.09,1.0,True,True
BPSK,1200,rep3,16,6.5138e-05,1.0491e-09,400.0,0.09,1.0,True,True
BPSK,1200,rep3,64,7.1239e-05,2.7809e-10,400.0,0.09,0.9875,True,True
BPSK,1200,rep5,1,7.4736e-05,7.1501e-09,240.0,0.054,0.9875,True,True
BPSK,1200,rep5,4,7.0101e-05,2.0120e-09,240.0,0.054,1.0,True,True
BPSK,1200,rep5,16,6.5138e-05,6.1991e-10,240.0,0.054,1.0,True,True
BPSK,1200,rep5,64,7.1239e-05,1.6433e-10,240.0,0.054,0.9875,True,True
BPSK,2400,none,1,6.7133e-05,5.7372e-08,2400.0,0.54,0.825,True,False
BPSK,2400,none,4,7.2068e-05,1.6937e-08,2400.0,0.54,0.8875,True,False
BPSK,2400,none,16,6.9397e-05,4.5498e-09,2400.0,0.54,0.975,True,True
BPSK,2400,none,64,6.8018e-05,1.2397e-09,2400.0,0.54,1.0,True,True
BPSK,2400,hamming74,1,6.7133e-05,1.9471e-08,1371.43,0.309,0.9625,True,True
BPSK,2400,hamming74,4,7.2068e-05,5.7234e-09,1371.43,0.309,0.975,True,True
BPSK,2400,hamming74,16,6.9397e-05,1.5312e-09,1371.43,0.309,1.0,True,True
BPSK,2400,hamming74,64,6.8018e-05,4.1372e-10,1371.43,0.309,1.0,True,True
BPSK,2400,rep3,1,6.7133e-05,1.2599e-08,800.0,0.18,0.975,True,True
BPSK,2400,rep3,4,7.2068e-05,3.7034e-09,800.0,0.18,1.0,True,True
BPSK,2400,rep3,16,6.9397e-05,9.9079e-10,800.0,0.18,1.0,True,True
BPSK,2400,rep3,64,6.8018e-05,2.6770e-10,800.0,0.18,1.0,True,True
BPSK,2400,rep5,1,6.7133e-05,7.4447e-09,480.0,0.108,1.0,True,True
BPSK,2400,rep5,4,7.2068e-05,2.1884e-09,480.0,0.108,1.0,True,True
BPSK,2400,rep5,16,6.9397e-05,5.8547e-10,480.0,0.108,1.0,True,True
BPSK,2400,rep5,64,6.8018e-05,1.5819e-10,480.0,0.108,1.0,True,True
BPSK,4800,none,1,6.7974e-05,5.8446e-08,4800.0,1.08,0.65,True,False
BPSK,4800,none,4,7.0931e-05,1.5837e-08,4800.0,1.08,0.95,True,True
BPSK,4800,none,16,6.9811e-05,5.6306e-09,4800.0,1.08,0.9875,True,True
BPSK,4800,none,64,6.7836e-05,1.5815e-09,4800.0,1.08,1.0,True,True
BPSK,4800,hamming74,1,6.7974e-05,1.9567e-08,2742.86,0.617,0.9375,True,False
BPSK,4800,hamming74,4,7.0931e-05,5.1397e-09,2742.86,0.617,1.0,True,True
BPSK,4800,hamming74,16,6.9811e-05,1.7658e-09,2742.86,0.617,1.0,True,True
BPSK,4800,hamming74,64,6.7836e-05,4.6860e-10,2742.86,0.617,1.0,True,True
BPSK,4800,rep3,1,6.7974e-05,1.2661e-08,1600.0,0.36,0.9875,True,True
BPSK,4800,rep3,4,7.0931e-05,3.3257e-09,1600.0,0.36,1.0,True,True
BPSK,4800,rep3,16,6.9811e-05,1.1426e-09,1600.0,0.36,1.0,True,True
BPSK,4800,rep3,64,6.7836e-05,3.0321e-10,1600.0,0.36,1.0,True,True
BPSK,4800,rep5,1,6.7974e-05,7.4817e-09,960.0,0.216,0.9875,True,True
BPSK,4800,rep5,4,7.0931e-05,1.9652e-09,960.0,0.216,1.0,True,True
BPSK,4800,rep5,16,6.9811e-05,6.7515e-10,960.0,0.216,1.0,True,True
BPSK,4800,rep5,64,6.7836e-05,1.7917e-10,960.0,0.216,1.0,True,True
BPSK,7200,none,1,6.8701e-05,5.8766e-08,7200.0,1.62,0.3375,True,False
BPSK,7200,none,4,7.1154e-05,1.7498e-08,7200.0,1.62,0.7625,True,False
BPSK,7200,none,16,7.2718e-05,6.0307e-09,7200.0,1.62,0.9125,True,False
BPSK,7200,none,64,6.9299e-05,1.8771e-09,7200.0,1.62,1.0,True,True
BPSK,7200,hamming74,1,6.8701e-05,1.8963e-08,4114.29,0.926,0.825,True,False
BPSK,7200,hamming74,4,7.1154e-05,5.1174e-09,4114.29,0.926,0.9375,True,False
BPSK,7200,hamming74,16,7.2718e-05,1.5970e-09,4114.29,0.926,0.9875,True,True
BPSK,7200,hamming74,64,6.9299e-05,4.1778e-10,4114.29,0.926,1.0,True,True
BPSK,7200,rep3,1,6.8701e-05,1.2270e-08,2400.0,0.54,0.925,True,False
BPSK,7200,rep3,4,7.1154e-05,3.3112e-09,2400.0,0.54,0.9625,True,True
