model,layer_type,tensor_role,bit_position_bucket,ber,trials,baseline_perplexity,median_perplexity,ppl_ratio_vs_unperturbed,bit_fraction_of_model,fragility_rank_score,uep_class
roneneldan/TinyStories-1M,embedding,token_or_position,exponent,1.0e-05,3,33.4191,inf,inf,0.223407,inf,critical
roneneldan/TinyStories-1M,embedding,token_or_position,exponent,1.0e-03,3,33.4191,inf,inf,0.223407,inf,critical
roneneldan/TinyStories-1M,mlp,projection,exponent,1.0e-05,3,33.4191,599081.5625,17926.3174,0.017666,17926.3174,critical
roneneldan/TinyStories-1M,mlp,projection,exponent,1.0e-03,3,33.4191,102863.1641,3077.9744,0.017666,17926.3174,critical
roneneldan/TinyStories-1M,attention,projection,mantissa_high,1.0e-05,3,33.4191,33.4286,1.0003,0.012075,1.0003,tolerant
roneneldan/TinyStories-1M,attention,projection,mantissa_high,1.0e-03,3,33.4191,33.3148,0.9969,0.012075,1.0003,tolerant
roneneldan/TinyStories-1M,embedding,token_or_position,sign,1.0e-05,3,33.4191,33.4188,1.0,0.027926,1.0,normal
roneneldan/TinyStories-1M,embedding,token_or_position,sign,1.0e-03,3,33.4191,39.038,1.1681,0.027926,1.0,normal
roneneldan/TinyStories-1M,embedding,token_or_position,mantissa_high,1.0e-05,3,33.4191,33.4195,1.0,0.307185,1.0,tolerant
roneneldan/TinyStories-1M,embedding,token_or_position,mantissa_high,1.0e-03,3,33.4191,33.7699,1.0105,0.307185,1.0,tolerant
roneneldan/TinyStories-1M,embedding,token_or_position,mantissa_low,1.0e-05,3,33.4191,33.4191,1.0,0.335111,1.0,tolerant
roneneldan/TinyStories-1M,embedding,token_or_position,mantissa_low,1.0e-03,3,33.4191,33.4191,1.0,0.335111,1.0,tolerant
roneneldan/TinyStories-1M,attention,projection,mantissa_low,1.0e-05,3,33.4191,33.4191,1.0,0.013173,1.0,tolerant
roneneldan/TinyStories-1M,attention,projection,mantissa_low,1.0e-03,3,33.4191,33.4191,1.0,0.013173,1.0,tolerant
roneneldan/TinyStories-1M,mlp,projection,mantissa_low,1.0e-05,3,33.4191,33.4191,1.0,0.026499,1.0,tolerant
roneneldan/TinyStories-1M,mlp,projection,mantissa_low,1.0e-03,3,33.4191,33.4189,1.0,0.026499,1.0,tolerant
roneneldan/TinyStories-1M,layernorm,scale_or_bias,sign,1.0e-05,3,33.4191,33.4191,1.0,1.8e-05,1.0,tolerant
roneneldan/TinyStories-1M,layernorm,scale_or_bias,sign,1.0e-03,3,33.4191,33.5662,1.0044,1.8e-05,1.0,tolerant
roneneldan/TinyStories-1M,layernorm,scale_or_bias,exponent,1.0e-05,3,33.4191,33.4191,1.0,0.000145,1.0,normal
roneneldan/TinyStories-1M,layernorm,scale_or_bias,exponent,1.0e-03,3,33.4191,24190.7402,723.8595,0.000145,1.0,normal
roneneldan/TinyStories-1M,layernorm,scale_or_bias,mantissa_high,1.0e-05,3,33.4191,33.4191,1.0,0.0002,1.0,tolerant
roneneldan/TinyStories-1M,layernorm,scale_or_bias,mantissa_high,1.0e-03,3,33.4191,33.0391,0.9886,0.0002,1.0,tolerant
roneneldan/TinyStories-1M,layernorm,scale_or_bias,mantissa_low,1.0e-05,3,33.4191,33.4191,1.0,0.000218,1.0,tolerant
roneneldan/TinyStories-1M,layernorm,scale_or_bias,mantissa_low,1.0e-03,3,33.4191,33.4183,1.0,0.000218,1.0,tolerant
roneneldan/TinyStories-1M,attention,projection,sign,1.0e-05,3,33.4191,33.4113,0.9998,0.001098,0.9998,normal
roneneldan/TinyStories-1M,attention,projection,sign,1.0e-03,3,33.4191,44.4655,1.3305,0.001098,0.9998,normal
roneneldan/TinyStories-1M,attention,projection,exponent,1.0e-05,3,33.4191,33.3882,0.9991,0.008782,0.9991,normal
roneneldan/TinyStories-1M,attention,projection,exponent,1.0e-03,3,33.4191,205343.6094,6144.4968,0.008782,0.9991,normal
roneneldan/TinyStories-1M,mlp,projection,mantissa_high,1.0e-05,3,33.4191,33.3807,0.9989,0.024291,0.9989,tolerant
roneneldan/TinyStories-1M,mlp,projection,mantissa_high,1.0e-03,3,33.4191,33.9471,1.0158,0.024291,0.9989,tolerant
roneneldan/TinyStories-1M,mlp,projection,sign,1.0e-05,3,33.4191,32.6661,0.9775,0.002208,0.9775,normal
roneneldan/TinyStories-1M,mlp,projection,sign,1.0e-03,3,33.4191,55.7206,1.6673,0.002208,0.9775,normal
